name,country,launch_date,launch_mass,expected_lifetime,apogee_height,perigee_height
FACSAT-2,Colombia,2023-04-15,10.0,,506.0,487.0
FalconEye-2,United Arab Emirates,2020-12-02,1180.0,5.0,599.0,597.0
Falconsat-3,USA,2007-03-09,46.0,,540.0,538.0
Falconsat-6,USA,2018-12-03,181.0,,591.0,572.0
Falconsat-7,USA,2019-06-25,5.0,,850.0,305.0
USA 300,USA,2020-05-17,136.0,,389.0,389.0
Faraday Phoenix,United Kingdom,2021-06-30,10.0,,532.0,513.0
USA 222,USA,2010-11-20,55.0,,654.0,627.0
Fengmaniu-1,China,2018-02-02,3.0,,508.0,440.0
Fengniao 1A,China,2012-11-20,160.0,,500.0,488.0
Fengyun 2F,China,2012-01-12,1390.0,3.0,35816.0,35760.0
Fengyun 2G,China,2014-12-31,1390.0,,35800.0,35770.0
Fengyun 4H,China,2018-06-05,1380.0,5.0,35804.0,35770.0
Fengyun 3B,China,2010-11-04,2300.0,,828.0,827.0
Fengyun 3C,China,2013-09-23,2300.0,,828.0,827.0
Fengyun 3D,China,2017-11-14,2300.0,8.0,812.0,803.0
Fengyun 3E,China,2021-07-04,2450.0,,820.0,781.0
Fengyun 4A,China,2016-12-10,5300.0,,35800.0,35768.0
Fengyun 4B,China,2021-06-06,5300.0,,35782.0,35780.0
Fermi Gamma-Ray Space Telescope,USA,2008-06-11,4303.0,,556.0,537.0
USA 215,USA,2010-09-21,,,1107.0,1101.0
USA 234,USA,2012-04-03,,,1107.0,1068.0
USA 247,USA,2013-12-06,,,1081.0,1066.0
USA 267,USA,2016-02-10,,,1087.0,1086.0
USA 281,USA,2018-01-12,,,1057.0,1047.0
FLP,Germany,2017-07-14,120.0,2.0,606.0,586.0
USA 46,USA,1989-09-25,2310.0,5.0,35829.0,35745.0
FormoSat-5,Taiwan,2017-08-25,525.0,5.0,729.0,710.0
FORTÉ ,USA,1997-08-29,215.0,3.0,823.0,790.0
Foshan 1,China,2021-04-27,70.0,,511.0,494.0
Fox-1Cliff,USA,2018-12-03,1.5,,591.0,574.0
FSSCAT-A,ESA,2020-09-02,10.0,,538.0,534.0
FSSCAT-B,ESA,2020-09-02,10.0,,537.0,534.0
FUNCube-1 (AO-73),Netherlands,2013-11-21,1.0,,683.0,594.0
Galaxy-11,USA,1999-01-21,4488.0,14.0,35795.0,35785.0
Galaxy-12,USA,2003-04-09,1760.0,15.0,35796.0,35775.0
Galaxy-13,USA/Japan,2003-10-01,4060.0,15.0,35790.0,35781.0
Galaxy-14,USA,2005-08-13,2086.0,15.0,35795.0,35776.0
Galaxy-15,USA,2005-10-13,2033.0,15.0,35795.0,35776.0
Galaxy-16,USA,2006-06-18,4640.0,15.0,35798.0,35775.0
Galaxy-17,USA,2007-05-04,4100.0,15.0,35799.0,35774.0
Galaxy-18,USA,2008-05-21,4642.0,15.0,35798.0,35774.0
Galaxy-19,USA,2008-09-24,4690.0,15.0,35796.0,35776.0
Galaxy-25,USA,1997-05-24,3515.0,13.0,35801.0,35771.0
Galaxy-28,USA,2005-06-23,5493.0,13.0,35798.0,35775.0
Galaxy-30,USA,2020-08-15,3298.0,15.0,35528.0,35523.0
Galaxy-33,USA,2022-10-08,3650.0,15.0,35795.0,35777.0
Galaxy-34,USA,2022-10-08,3695.0,15.0,35748.0,35732.0
Galaxy-3C,USA,2002-06-15,4860.0,15.0,35788.0,35784.0
Galileo FOC FM1,ESA,2014-08-22,733.0,12.0,25971.0,17231.0
Galileo FOC FM10,ESA,2016-05-24,723.0,12.0,23280.0,23272.0
Galileo FOC FM11,ESA,2016-05-24,723.0,12.0,23530.0,23483.0
Galileo FOC FM12,ESA,2016-11-17,723.0,12.0,23055.0,23039.0
Galileo FOC FM13,ESA,2016-11-17,723.0,12.0,22982.0,22982.0
Galileo FOC FM14,ESA,2016-11-17,723.0,12.0,23296.0,23272.0
Galileo FOC FM15,ESA,2017-12-13,715.0,12.0,23184.0,23164.0
Galileo FOC FM16,ESA,2017-12-13,715.0,12.0,22927.0,22904.0
Galileo FOC FM17,ESA,2017-12-13,715.0,12.0,22918.0,22905.0
Galileo FOC FM18,ESA,2017-12-13,715.0,12.0,23149.0,22903.0
Galileo FOC FM19,ESA,2018-07-25,715.0,12.0,23250.0,23233.0
Galileo FOC FM2,ESA,2014-08-22,733.0,12.0,25918.0,13810.0
Galileo FOC FM20,ESA,2018-07-25,715.0,12.0,23149.0,23089.0
Galileo FOC FM21,ESA,2018-07-25,715.0,12.0,22980.0,22973.0
Galileo FOC FM22,ESA,2018-07-25,715.0,12.0,23047.0,23021.0
Galileo FOC FM23,ESA,2021-12-05,733.0,12.0,23518.0,23380.0
Galileo FOC FM24,ESA,2021-12-05,733.0,12.0,23571.0,23515.0
Galileo FOC FM3,ESA,2015-03-27,723.0,12.0,23574.0,23516.0
Galileo FOC FM4,ESA,2015-03-27,723.0,12.0,23382.0,23353.0
Galileo FOC FM5,ESA,2015-09-11,723.0,12.0,23240.0,23218.0
Galileo FOC FM6,ESA,2015-09-11,723.0,12.0,23239.0,23220.0
Galileo FOC FM7,ESA,2016-11-17,723.0,12.0,23305.0,23265.0
Galileo FOC FM8,ESA,2015-12-17,723.0,12.0,23618.0,23550.0
Galileo FOC FM9,ESA,2015-12-17,723.0,12.0,23568.0,23551.0
Galileo IOV-1 FM2,ESA,2011-10-21,700.0,12.0,23307.0,23242.0
Galileo IOV-1 PFM,ESA,2011-10-21,700.0,12.0,23306.0,23240.0
Galileo IOV-2 FM3,ESA,2012-10-12,700.0,12.0,23233.0,23214.0
Galileo IOV-2 FM4,ESA,2012-10-12,700.0,12.0,23227.0,23217.0
GAMA Alpha,France,2023-01-03,10.0,,536.0,517.0
Gaofen 1,China,2013-04-26,1000.0,8.0,654.0,630.0
Gaofen 1-02,China,2018-03-30,805.0,8.0,642.0,638.0
Gaofen 1-03,China,2018-03-30,805.0,8.0,640.0,638.0
Gaofen 1-04,China,2018-03-30,805.0,8.0,642.0,638.0
Gaofen 1-05,China,2018-05-08,805.0,8.0,695.0,677.0
Gaofen 1-06,China,2018-06-03,1064.0,8.0,647.0,634.0
Gaofen 10,China,2019-10-04,1000.0,8.0,621.0,611.0
Gaofen 11,China,2018-07-31,1000.0,8.0,689.0,241.0
Gaofen 11-02,China,2020-09-07,1000.0,8.0,691.0,244.0
Gaofen 11-03,China,2021-11-20,3000.0,8.0,695.0,243.0
Gaofen 12,China,2019-11-28,1000.0,8.0,616.0,612.0
Gaofen 12-02,China,2021-03-30,3000.0,8.0,637.0,634.0
GaoFen 12-03 ,China,2022-06-27,3000.0,8.0,599.0,594.0
Gaofen 13,China,2020-10-11,1000.0,8.0,35799.0,35775.0
Gaofen 13-02,China,2023-03-17,4600.0,,35803.0,35771.0
Gaofen 14,China,2020-12-06,1000.0,8.0,495.0,485.0
Gaofen 2,China,2014-08-19,1000.0,8.0,636.0,620.0
Gaofen 3,China,2016-08-09,1000.0,8.0,759.0,757.0
Gaofen 3-02,China,2021-11-22,2500.0,8.0,745.0,737.0
Gaofen 3-03,China,2022-04-06,2500.0,8.0,746.0,739.0
Gaofen 4,China,2015-12-28,4600.0,8.0,35796.0,35792.0
Gaofen 5-02,China,2021-09-06,4200.0,8.0,695.0,688.0
Gaofen 7,China,2019-11-03,9.0,,505.0,487.0
Gaofen 8,China,2015-06-26,1000.0,8.0,492.0,484.0
Gaofen 9,China,2015-09-14,1000.0,8.0,664.0,618.0
Gaofen 9-02,China,2020-05-31,1000.0,8.0,502.0,487.0
Gaofen 9-03,China,2020-06-17,1000.0,8.0,504.0,485.0
Gaofen 9-04,China,2020-08-06,1000.0,8.0,505.0,485.0
Gaofen 9-05,China,2020-08-23,1000.0,8.0,505.0,483.0
Gaofen Multi-Mode 1,China,2020-07-03,,,649.0,631.0
Cosmos 2513,Russia,2015-12-10,5000.0,,35805.0,35783.0
GATOSS,Denmark,2013-11-21,5.0,,819.0,593.0
GCOM-C,Japan,2017-12-22,2200.0,5.0,793.0,790.0
GEARRS-3,USA,2022-01-13,4.0,,505.0,496.0
GEARRSAT-2,USA,2015-05-20,10.0,,700.0,356.0
GECAM-A,China,2020-12-09,150.0,,605.0,588.0
GECAM-B,China,2020-12-09,150.0,,604.0,587.0
GeeSat 5-01 ,China,2022-06-02,100.0,5.0,625.0,612.0
GeeSat 5-02,China,2022-06-02,100.0,5.0,622.0,615.0
GeeSat 5-03,China,2022-06-02,100.0,5.0,624.0,613.0
GeeSat 5-04,China,2022-06-02,100.0,5.0,621.0,615.0
GeeSat 5-05,China,2022-06-02,100.0,5.0,623.0,614.0
GeeSat 5-06,China,2022-06-02,100.0,5.0,623.0,614.0
GeeSat 5-07,China,2022-06-02,100.0,5.0,624.0,613.0
GeeSat 5-08,China,2022-06-02,100.0,5.0,624.0,614.0
GeeSat 5-09,China,2022-06-02,100.0,5.0,626.0,612.0
Genesis-1,USA,2006-07-12,1360.0,5.0,569.0,522.0
Genesis-2,USA,2007-06-28,1360.0,5.0,586.0,508.0
Cosmos 2517,Russia,2016-06-05,900.0,5.0,963.0,935.0
Cosmos 2540,Russia,2019-08-30,900.0,5.0,958.0,945.0
GEO-Kompsat-2A,South Korea,2018-12-04,3507.0,10.0,35787.0,35783.0
GEO-Kompsat-2B,South Korea,2020-02-18,3379.0,10.0,35792.0,35782.0
GeoEye-1,USA,2008-09-06,1955.0,7.0,686.0,671.0
Geomagnetic Tail Laboratory (Geotail),Multinational,1992-07-24,980.0,,191451.0,49551.0
Ghalib,United Arab Emirates,2021-06-30,3.0,,533.0,520.0
GHGSat-C1,Canada,2020-09-02,15.0,,518.0,515.0
GHGSat-C2,Canada,2021-01-24,15.0,,535.0,528.0
GHGSat-C6,Canada,2023-04-15,15.0,,506.0,488.0
GHGSat-C7,Canada,2023-04-15,15.0,,,
GHGSat-C8,Canada,2023-04-15,15.0,,506.0,488.0
GHGSat-D,Canada,2016-06-22,15.0,,512.0,500.0
GHOSt-1,USA,2023-04-15,85.0,,507.0,493.0
GHOSt-2,USA,2023-04-15,85.0,,507.0,492.0
GCOM-1,USA/Japan,2012-05-17,1900.0,5.0,704.0,701.0
Globalstar FM15,USA,2022-06-19,715.0,15.0,1125.0,1111.0
Globalstar FM37,USA,1999-03-15,450.0,10.0,1417.0,1411.0
Globalstar M065,USA,2007-05-29,450.0,10.0,1416.0,1411.0
Globalstar M066,USA,2007-10-20,450.0,10.0,1415.0,1412.0
Globalstar M067,USA,2007-10-20,450.0,10.0,1414.0,1413.0
Globalstar M069,USA,2007-05-29,450.0,10.0,1416.0,1411.0
Globalstar M070,USA,2007-10-20,450.0,10.0,1415.0,1412.0
Globalstar M071,USA,2007-05-29,450.0,10.0,1415.0,1412.0
Globalstar M072,USA,2007-05-29,450.0,10.0,1416.0,1412.0
Globalstar M073,USA,2010-10-19,700.0,15.0,1414.0,1413.0
Globalstar M074,USA,2010-10-19,700.0,15.0,1415.0,1413.0
Globalstar M075,USA,2010-10-19,700.0,15.0,1415.0,1413.0
Globalstar M076,USA,2010-10-19,700.0,15.0,1415.0,1412.0
Globalstar M077,USA,2010-10-19,700.0,15.0,1414.0,1413.0
Globalstar M078,USA,2013-02-06,700.0,15.0,1415.0,1412.0
Globalstar M079,USA,2010-10-19,700.0,15.0,1414.0,1413.0
Globalstar M080,USA,2011-12-28,700.0,15.0,1414.0,1413.0
Globalstar M081,USA,2011-07-13,700.0,15.0,1415.0,1412.0
Globalstar M082,USA,2011-12-28,700.0,15.0,1414.0,1413.0
Globalstar M083,USA,2011-07-13,700.0,15.0,1414.0,1413.0
Globalstar M084,USA,2011-12-28,700.0,15.0,1414.0,1413.0
Globalstar M085,USA,2011-07-13,700.0,15.0,1415.0,1413.0
Globalstar M086,USA,2011-12-28,700.0,15.0,1414.0,1413.0
